Brand,Color,Ram,Rom,Display,Battery,Primary_Camera,Front_Camera,Selling_price
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,space Grey,8,64,10.9,8400,12,12,"69,900"
Lenovo,Abyss Blue,4,128,10.61,7700,13,8,"17,999"
SAMSUNG,Gray,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Silver,8,128,12.4,10090,8,12,"54,999"
SAMSUNG,Gray,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Silver,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Mint,12,256,12.4,10090,8,12,"64,999"
SAMSUNG,Beige,8,128,11,8400,13,12,"85,999"
SAMSUNG,Beige,12,256,12.4,10090,13,12,"64,999"
SAMSUNG,Graphite,8,128,11,5100,8,5,"24,999"
SAMSUNG,Navy,8,128,11,5100,8,5,"24,999"
SAMSUNG,Silver,8,128,11,5100,8,5,"24,999"
Apple,Blue,8,256,10.9,8400,12,12,"79,900"
Apple,Pink,8,256,10.9,8400,12,12,"79,900"
Apple,Space Grey,8,256,10.9,8400,12,12,"79,900"
SAMSUNG,Pink Gold,8,128,12.4,10090,13,12,"88,929"
Apple,Purple,8,64,10.9,8400,12,12,"69,900"
Apple,Pink,8,64,10.9,8400,12,12,"69,900"
Apple,Purple,8,256,10.9,8400,12,12,"79,900"
Apple,Blue,8,64,10.9,8400,12,12,"69,900"
SAMSUNG,Navy,4,64,11,5100,8,5,"22,999"
SAMSUNG,GRAY,4,64,11,5100,8,5,"27,999"
Apple,Star Light,8,64,10.9,8400,12,12,"69,900"
realme,Glacier Blue,6,128,11,8340,13,8,"27,999"
